Galaxy_Name,logM,SFR,W_OI,W_SiII,W_SiIII,W_SiIV,W_OI_err,W_SiII_err,W_SiIII_err,W_SiIV_err,V_OI,V_SiII,V_SiIII,V_SiIV,V_OI_err,V_SiII_err,V_SiIII_err,V_SiIV_err
IRAS 08339+6517,10.5,13.59,0.64,1.53,3.18,1.69,0.11,0.11,0.12,0.11,-761,-904,1165,-796,125,106,102,77
NGC 3256,10.9,50.83,2.42,2.62,-,2.23,0.19,0.16,-,0.19,-1176,-1194,-,-990,134,120,-,89
NGC 6090,10.7,25.15,1.47,1.86,2.47,1.77,0.1,0.1,0.1,0.1,-424,-655,-681,-599,96,76,11,56
NGC 7552,10.6,13.37,-,3.18,-,2.85,-,0.12,-,0.13,-,-1043,-,-886,-,47,-,69
Haro 11,10.1,26.45,-,0.7,-,1.52,-,0.1,-,0.11,-,-332,-,-473,-,22,-,19
J0055-0021,10.6,71.15,1.7,2.59,4.03,-,0.24,0.27,0.6,-,-513,-670,1064,-,73,74,199,-
J0150+1260,10.5,60.4,-,1.42,-,1.47,-,0.21,-,0.2,-,-437,-,-447,-,26,-,48
J0926+4427,9.9,22.07,-,0.44,1.28,1.43,-,0.13,0.18,0.2,-,-439,-705,-607,-,26,65,77
J0938+5428,10,20.28,0.98,1.84,2.42,1.59,0.12,0.14,0.2,0.14,-356,-524,-538,-408,45,43,51,60
J2103-0728,10.9,136.82,0.74,1.66,3.4,1.85,0.17,0.19,0.25,0.22,-873,-772,-983,835,225,117,73,156
1Zw 18,7.2,0.02,-,0.36,0.43,-,-,0.1,0.1,-,-,-151,-300,-,-,9,5,-
M 83,10.6,3.65,-,0.84,1.16,-,-,0.1,0.1,-,-,-295,-377,-,-,11,10,-
NGC 3690,10.9,90.64,-,-,-,1.24,-,-,-,0.11,-,-,-,-410,-,-,-,62
NGC 4214,9,0.13,-,0.93,1.08,0.85,-,0.12,0.14,0.12,-,-394,-404,-344,-,44,31,54
NGC 4449,9.2,0.24,1.3,1.12,-,-,0.1,0.11,-,-,-353,-326,-,-,11,15,-,-
NGC 4670,9.1,0.34,-,-,-,1.25,-,-,-,0.1,-,-,-,-393,-,-,-,45
NGC 5253 1,8.5,0.48,-,0.8,1.52,1.1,-,0.11,0.15,0.1,-,-497,-525,-279,-,5,89,18
NGC 5253 2,8.5,0.48,-,0.95,1.29,-,-,0.11,0.11,-,-,-539,-574,-,-,141,122,-
SBS 1415+437,6.9,0.02,-,0.5,-,-,-,0.1,-,-,-,-200,-,-,-,14,-,-
KISSR 1578,9.5,3.72,-,1- 0.11,1.63,1.15,-,1- 0.11,0.12,0.13,-,-357,-475,-395,-,18,76,40
KISSR 218,9.9,0.99,1.56,1.83,2.11,1.53,0.2,0.37,0.41,0.29,-503,-626,-687,620,72,92,110,125
KISSR 242,9.5,5.12,0.68,1.18,1.75,1.03,0.11,0.14,0.15,0.15,-263,-430,-638,-380,12,45,112,52
KISSR 108,8.8,0.23,1.26,1.86,1.41,-,0.19,0.28,0.21,-,-317,-471,-471,-,34,66,56,-
KISSR 178,10,2.55,1.88,1.85,-,-,0.37,0.37,-,-,-438,-420,-,-,82,63,-,-
KISSR 182,9,0.28,0.88,-,-,-,0.16,-,-,-,-253,-,-,-,24,-,-,-
NGC 7714,10.3,9.17,0.98,1.88,-,1.85,0.1,0.1,-,0.1,-360,-412,-,-456,9,19,-,53
J1144+4012,10.4,11.82,2.23,2.43,-,1.29,0.2,0.31,-,0.19,-693,-688,-,588,63,57,-,108
J1429+1653,10.3,28.63,-,0.85,-,1.36,-,0.15,-,0.21,-,-419,-,-401,-,31,-,75
J1416+1223,10.6,46.6,-,2.97,3.88,2.55,-,0.17,0.28,0.15,-,-876,-965,815,-,77,79,121
J1415+0540,10.1,12.21,-,-,-,1.36,-,-,-,0.18,-,-,-,-488,-,-,-,75
J1525+0757,10.3,12.97,-,1.81,2.94,1.67,-,0.25,0.85,0.16,-,-690,-955,-675,-,20,95,42
J1429+0643,10.1,61.07,-,1.35,2.48,1.85,-,0.14,0.31,0.2,-,-545,-812,609,-,31,101,151
J1112+5503,10.7,58.47,-,3.02,3.94,2.43,-,0.23,0.49,0.17,-,-956,1139,971,-,73,200,100
J1025+3622,9.8,13.03,-,1.38,2.65,1.41,-,0.19,0.29,0.15,-,-512,-829,-468,-,37,142,58
MRK 1486,9.3,3.6,0.89,1.49,1.99,1.09,0.11,0.13,0.13,0.12,-407,-497,-605,-545,18,45,89,36
J0824+2806,10.6,20.73,-,-,-,1.36,-,-,-,0.13,-,-,-,-324,-,-,-,31
J0907+5327,9,0.86,-,0.9,1.06,0.83,-,0.14,0.15,0.18,-,-265,-335,-241,-,31,30,71
J1250+0734,10.9,16.71,1.36,1.64,2.15,1.34,0.15,0.2,0.28,0.2,-423,-445,-607,-410,14,15,84,62
J1307+5427,9.5,5.69,-,-,-,1.2,-,-,-,0.18,-,-,-,515,-,-,-,111
J1315+6207,10.6,41.08,1.98,2.36,2.85,1.6,0.15,0.35,0.24,0.15,-636,-866,-903,-513,187,162,136,78
J1403+0628,10.9,21.27,1.63,1.59,-,-,0.31,0.3,-,-,-483,-481,-,-,43,40,-,-
GP1244+0216,9.4,26.2,1.18,1.37,1.61,-,0.28,0.26,0.24,-,-275,-615,-648,-,50,112,136,-
GP1054+5238,9.5,22.4,-,0.74,2.29,-,-,0.2,0.31,-,-,-534,-823,-,-,45,120,-
